Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,0,0,partie,part
1,1,1,1,1,1,1,histoire,history
2,2,2,2,2,2,2,chercher,search
3,3,3,3,3,3,3,seulement,only
4,4,4,5,5,5,7,demande,request
5,5,5,6,6,6,9,mois,month
6,6,6,7,7,7,10,frère,brother
7,7,7,8,8,8,11,laisser,let
8,8,8,9,10,10,14,aucun,no
9,9,9,10,11,11,15,laisse,leash
11,11,11,12,13,13,18,chaque,each
12,12,12,13,14,14,19,parlé,speak
13,13,13,14,15,15,20,arrivé,come
14,14,14,15,16,16,21,devrait,should
15,15,15,16,17,17,23,longtemps,long time
16,16,16,17,18,18,24,heures,hours
17,17,17,18,19,19,25,vont,will
18,18,18,19,20,20,27,revoir,meet again
19,19,19,20,21,21,28,aucune,any
20,20,20,21,22,22,30,parle,speak
21,21,21,22,23,23,34,attention,Warning
22,22,22,23,24,24,36,pourrais,could
23,23,23,24,25,25,37,affaire,case
24,24,24,25,26,26,38,donner,give
25,25,25,26,27,27,39,type,type
26,26,26,27,28,28,41,donné,given
27,27,27,28,29,29,42,train,train
28,28,29,30,31,32,45,yeux,eyes
29,29,30,31,32,33,47,écoute,listen
30,30,31,32,33,34,48,dont,whose
31,31,32,33,34,35,49,trouve,find
32,32,33,34,35,36,50,premier,first
33,33,34,35,36,37,51,perdu,lost
35,36,37,38,39,40,54,pouvoir,power
36,37,38,39,40,41,55,vieux,old
37,38,39,40,41,42,56,sois,be
38,39,40,41,42,43,57,tiens,here
39,40,41,42,43,44,59,tellement,so much
40,41,42,43,44,45,60,enfant,child
41,42,43,44,45,46,61,point,point
42,43,44,45,46,47,64,venez,come
43,44,45,46,47,48,65,devant,in front of
44,45,46,47,48,49,66,vers,towards
46,47,48,49,50,51,69,chambre,bedroom
47,48,49,50,51,52,70,mis,placed
48,49,50,51,52,53,71,belle,beautiful
49,50,51,52,53,54,72,droit,law
50,51,52,53,54,55,74,aujourd'hui,today
51,52,53,54,55,56,75,mari,husband
53,54,55,56,57,58,77,enfin,finally
55,56,57,58,59,60,79,eau,water
56,57,58,59,60,61,80,attendez,Wait
57,58,59,60,61,62,82,nouvelle,new
58,59,60,61,62,63,84,arrêter,Stop
59,60,61,63,64,65,86,terre,Earth
60,61,62,64,65,66,88,donne,given
62,63,64,66,67,68,92,chérie,sweetheart
63,64,65,68,69,70,97,jouer,to play
